1,2,3,4
5,6,7,8
1,11,9,10
2,3,4,5
6,7,8,9
1,10,2,11
3,5,4,6
7,9,8,10
1,4,3,11
2,6,5,7
1,9,8,11
2,4,3,10
5,8,6,9
1,7,10,11
2,5,3,6
4,8,9,11
1,3,7,10
2,8,5,9
4,7,6,11
1,5,2,10
3,9,6,8
4,10,7,11
1,8,2,9
3,7,5,11
4,9,6,10
2,7,3,8
1,6,5,10
2,9,4,11
1,7,3,8
5,10,6,11
2,4,3,9
1,5,7,8
4,11,6,10
1,9,2,3
5,8,6,7
2,11,4,10
1,3,7,9
5,6,8,10
3,11,4,9
1,8,2,7
4,6,5,11
3,7,9,10
1,6,2,8
4,5,10,11
3,6,8,9
1,2,5,7
3,4,9,11
2,10,6,8
1,11,4,7
3,10,5,9
