1,2,3,4,5,6
1,11,7,8,9,10
2,3,4,5,6,7
1,10,2,11,8,9
3,5,4,7,6,8
1,9,2,10,3,11
4,8,5,7,6,9
1,3,2,4,10,11
5,8,6,10,7,9
1,5,2,6,4,11
3,9,7,10,8,11
1,4,2,5,3,6
1,7,8,10,9,11
2,7,4,6,5,9
1,8,3,10,5,11
2,8,3,7,4,9
1,6,5,10,7,11
2,9,3,8,4,10
1,5,2,7,6,11
3,9,4,10,6,8
1,7,2,5,4,11
3,8,6,10,9,11
1,2,3,7,4,5
1,10,6,9,8,11
2,8,3,5,4,7
1,9,5,10,6,11
2,3,4,9,7,8
1,6,2,10,5,11
3,6,4,8,7,9
1,4,5,7,10,11
2,6,3,10,8,9
1,11,2,4,5,8
3,11,6,7,9,10
1,8,3,4,5,9
2,11,5,6,7,10
1,3,2,9,4,6
1,5,7,11,8,10
2,3,4,9,6,8
1,7,4,11,5,10
2,8,3,6,7,9
1,3,4,10,5,11
2,9,6,7,8,11
1,4,2,10,3,5
6,10,7,8,9,11
1,8,2,5,3,4
5,9,6,11,7,10
1,2,3,9,4,8
1,6,5,7,10,11
2,4,3,8,6,9
1,10,4,5,7,11
