1,2,3,4
5,6,7,8
9,10,11,12
13,14,15,16
1,17,2,3
4,5,6,7
8,9,10,11
12,13,14,15
1,16,2,17
3,5,4,6
7,9,8,10
11,13,12,14
2,16,15,17
1,4,3,6
5,8,7,10
9,12,11,14
13,15,16,17
1,3,2,4
5,7,6,8
9,11,10,12
13,17,14,16
1,15,2,6
3,7,4,8
5,9,10,14
11,16,12,17
1,13,2,15
3,8,4,7
5,10,6,9
12,16,14,17
2,13,11,15
1,7,3,9
4,10,8,14
5,16,6,12
3,13,11,17
2,9,7,15
1,8,4,14
5,12,6,10
3,17,13,16
2,11,9,15
1,10,7,14
4,12,8,16
5,13,6,17
3,15,7,11
1,9,2,14
8,12,10,16
4,17,6,13
3,11,5,15
2,7,9,14
1,12,4,16
8,13,10,17
