1,2,3,4
5,6,7,8
9,10,11,12
1,15,13,14
2,3,4,5
6,7,8,9
10,11,12,13
1,14,2,15
3,5,4,6
7,9,8,10
11,13,12,14
1,4,3,15
2,6,5,7
8,11,9,12
10,14,13,15
1,3,2,4
5,8,6,9
7,11,10,12
1,13,14,15
2,5,3,6
4,8,9,11
7,12,10,13
3,14,5,15
1,6,2,8
4,11,9,13
7,10,12,15
3,8,5,14
1,9,2,11
4,7,6,13
3,12,10,15
1,5,8,14
2,9,6,11
4,12,7,13
3,10,8,15
2,14,5,9
1,11,6,12
4,13,7,15
5,10,9,14
1,8,3,11
2,12,6,15
4,10,7,14
3,9,5,13
1,12,6,8
2,7,11,15
3,13,4,14
1,10,5,12
8,13,9,15
2,10,6,14
3,7,5,11
4,9,8,12
