1,2,3,4,5,6
7,8,9,10,11,12
13,14,15,16,17,18
19,20,21,22,23,24
1,3,2,5,4,6
7,9,8,11,10,12
13,15,14,17,16,18
19,21,20,23,22,24
1,4,2,6,3,5
7,10,8,12,9,11
13,16,14,18,15,17
19,22,20,24,21,23
1,5,2,4,3,6
7,11,8,10,9,12
13,17,14,16,15,18
19,23,20,22,21,24
1,6,2,3,4,5
7,12,8,9,10,11
13,18,14,15,16,17
19,24,20,21,22,23
1,7,2,8,3,9
4,10,5,11,6,12
13,19,14,20,15,21
16,22,17,23,18,24
1,8,2,9,3,7
4,11,5,12,6,10
13,20,14,21,15,19
16,23,17,24,18,22
1,9,2,7,3,8
4,12,5,10,6,11
13,21,14,19,15,20
16,24,17,22,18,23
1,10,2,11,3,12
4,7,5,8,6,9
13,22,14,23,15,24
16,19,17,20,18,21
1,11,2,12,3,10
4,8,5,9,6,7
13,23,14,24,15,22
16,20,17,21,18,19
1,12,2,10,3,11
4,9,5,7,6,8
13,24,14,22,15,23
16,21,17,19,18,20
1,13,2,14,3,15
10,22,11,23,12,24
4,16,5,17,6,18
7,19,8,20,9,21
1,14,2,15,3,13
10,23,11,24,12,22
