1,2,3,4
5,6,7,8
9,10,11,12
1,13,2,3
4,5,6,7
8,9,10,11
1,12,2,13
3,5,4,6
7,9,8,10
2,12,11,13
1,4,3,6
5,8,7,10
9,11,12,13
1,3,2,4
5,7,6,8
9,13,10,12
1,11,2,6
3,7,4,8
5,9,10,13
2,11,6,12
1,7,3,8
4,9,5,10
3,12,6,13
2,8,7,11
1,5,4,10
3,13,9,12
2,7,6,11
1,8,4,13
3,10,5,12
6,9,8,11
2,5,4,7
1,10,8,13
3,9,7,12
1,6,4,11
2,10,5,13
3,11,8,12
1,9,7,13
4,12,6,10
2,9,5,11
1,2,3,4
5,6,7,8
9,10,11,12
1,13,2,3
4,5,6,7
8,9,10,11
1,12,2,13
3,5,4,6
7,9,8,10
2,12,11,13
1,4,3,6
