1,2,3,4,5,6
7,8,9,10,11,12
1,13,2,3,4,5
6,7,8,9,10,11
1,3,2,4,12,13
5,7,6,8,9,11
1,10,2,12,3,13
4,7,5,8,6,9
1,12,2,10,11,13
3,6,4,8,5,9
1,11,7,12,10,13
2,5,3,8,4,6
7,11,9,13,10,12
1,4,2,6,3,5
7,10,8,11,9,12
1,5,2,8,4,13
3,11,6,10,7,9
1,8,2,13,4,12
3,9,5,10,6,11
1,7,5,12,8,13
2,9,3,10,4,11
1,6,7,13,8,12
2,7,4,9,5,11
3,12,6,13,8,10
1,9,2,11,4,10
3,7,5,13,6,12
1,2,3,4,5,6
7,8,9,10,11,12
1,13,2,3,4,5
6,7,8,9,10,11
1,3,2,4,12,13
5,7,6,8,9,11
1,10,2,12,3,13
4,7,5,8,6,9
1,12,2,10,11,13
3,6,4,8,5,9
1,11,7,12,10,13
2,5,3,8,4,6
7,11,9,13,10,12
1,4,2,6,3,5
7,10,8,11,9,12
1,5,2,8,4,13
3,11,6,10,7,9
1,8,2,13,4,12
3,9,5,10,6,11
1,7,5,12,8,13
2,9,3,10,4,11
1,6,7,13,8,12
2,7,4,9,5,11
3,12,6,13,8,10
