1,2,3,4,5,6
1,3,7,8,9,10
2,4,5,7,6,8
1,9,2,10,3,5
4,7,6,9,8,10
1,6,2,3,4,5
1,8,3,10,7,9
2,7,4,6,5,8
1,10,2,5,3,9
4,10,6,7,8,9
1,5,2,8,3,6
1,7,4,9,5,10
2,6,3,7,4,8
1,4,5,9,6,10
2,9,3,8,7,10
1,2,3,4,5,6
1,3,7,8,9,10
2,4,5,7,6,8
1,9,2,10,3,5
4,7,6,9,8,10
1,6,2,3,4,5
1,8,3,10,7,9
2,7,4,6,5,8
1,10,2,5,3,9
4,10,6,7,8,9
1,5,2,8,3,6
1,7,4,9,5,10
2,6,3,7,4,8
1,4,5,9,6,10
2,9,3,8,7,10
1,2,3,4,5,6
1,3,7,8,9,10
2,4,5,7,6,8
1,9,2,10,3,5
4,7,6,9,8,10
1,6,2,3,4,5
1,8,3,10,7,9
2,7,4,6,5,8
1,10,2,5,3,9
4,10,6,7,8,9
1,5,2,8,3,6
1,7,4,9,5,10
2,6,3,7,4,8
1,4,5,9,6,10
2,9,3,8,7,10
1,2,3,4,5,6
1,3,7,8,9,10
2,4,5,7,6,8
1,9,2,10,3,5
4,7,6,9,8,10
